track_id,track_name,type,explicit,duration,artists,preview_url,album_id
3xlhYIhZ7heAvohmw3uyfd,00,track,True,33874,"[['1zSv9qZANOWB4HRE8sxeTL', 'RPT MCK']]",,1vi1WySkgPGkbR8NnQzlXu
7jLSThU5Kg1RWt19Leiaxm,Chìm Sâu,track,True,156303,"[['1zSv9qZANOWB4HRE8sxeTL', 'RPT MCK'], ['2v14NO80QYditUms7sbEIZ', 'Trung Trần']]",,1vi1WySkgPGkbR8NnQzlXu
38MI5LpTajiO3A0DQGcCmu,Suit & Tie,track,True,238330,"[['1zSv9qZANOWB4HRE8sxeTL', 'RPT MCK'], ['6xRZoWlE9twEkMC5NW4Z9f', 'Hoàng Tôn']]",,1vi1WySkgPGkbR8NnQzlXu
4HHtyJdZVuefcyRmBUcyth,Va Vào Giai Điệu Này,track,False,190303,"[['1zSv9qZANOWB4HRE8sxeTL', 'RPT MCK']]",,1vi1WySkgPGkbR8NnQzlXu
6Aq4aOWwYShupneZy71zE4,Tối Nay Ta Đi Đâu Nhờ,track,True,104698,"[['1zSv9qZANOWB4HRE8sxeTL', 'RPT MCK']]",,1vi1WySkgPGkbR8NnQzlXu
28bxbqNcAuNxYDZYet6eZ7,Chỉ Một Đêm Nữa Thôi,track,True,141760,"[['1zSv9qZANOWB4HRE8sxeTL', 'RPT MCK'], ['3diftVOq7aEIebXKkC34oR', 'tlinh']]",,1vi1WySkgPGkbR8NnQzlXu
7kpNUrBDYDoX6QKGzrBD1R,Thôi Em Đừng Đi,track,False,173397,"[['1zSv9qZANOWB4HRE8sxeTL', 'RPT MCK'], ['2v14NO80QYditUms7sbEIZ', 'Trung Trần']]",,1vi1WySkgPGkbR8NnQzlXu
33dIUFKBA7U5KHs1fdBw8b,50/50,track,True,60858,"[['1zSv9qZANOWB4HRE8sxeTL', 'RPT MCK']]",,1vi1WySkgPGkbR8NnQzlXu
29cUOvKfTmx9SFDC73QHv5,Cuốn Cho Anh Một Điếu Nữa Đi,track,True,185669,"[['1zSv9qZANOWB4HRE8sxeTL', 'RPT MCK']]",,1vi1WySkgPGkbR8NnQzlXu
2X2mIfNW5ZtLmVgpm9rgUX,Show Me Love,track,True,154917,"[['1zSv9qZANOWB4HRE8sxeTL', 'RPT MCK']]",,1vi1WySkgPGkbR8NnQzlXu
3440g8awr2l0E5Yy2X5Epk,Tại Vì Sao,track,False,202880,"[['1zSv9qZANOWB4HRE8sxeTL', 'RPT MCK']]",,1vi1WySkgPGkbR8NnQzlXu
7EaPodlfG3tbhshy7MKzTL,Thờ Er,track,True,98325,"[['1zSv9qZANOWB4HRE8sxeTL', 'RPT MCK']]",,1vi1WySkgPGkbR8NnQzlXu
6GUGn0yUS6PvyYIXOoaT4j,Ai Mới Là Kẻ Xấu Xa,track,True,192768,"[['1zSv9qZANOWB4HRE8sxeTL', 'RPT MCK']]",,1vi1WySkgPGkbR8NnQzlXu
3YctJXK6kznnWl68TnYobN,Anh Đã Ổn Hơn,track,False,194005,"[['1zSv9qZANOWB4HRE8sxeTL', 'RPT MCK']]",,1vi1WySkgPGkbR8NnQzlXu
33SYx5viijwLGMqfl50FKI,Badtrip,track,True,158559,"[['1zSv9qZANOWB4HRE8sxeTL', 'RPT MCK']]",,1vi1WySkgPGkbR8NnQzlXu
4Mne52NZGUzdlPZSzjQM5f,99,track,False,171673,"[['1zSv9qZANOWB4HRE8sxeTL', 'RPT MCK']]",,1vi1WySkgPGkbR8NnQzlXu
5oFEvbM7lGnx8jfAkuhVyo,MỘNG YU,track,False,202629,"[['2aQnC3DbZB9GbauvhAw7ve', 'AMEE'], ['1zSv9qZANOWB4HRE8sxeTL', 'RPT MCK']]",,6ARiEjWrsw26QxfcvUsjtd
2dJsq7g1lxB60OsaoOzO1o,Phong Cách,track,True,160046,"[['1zSv9qZANOWB4HRE8sxeTL', 'RPT MCK'], ['3n56g8JEOhO9CwLHpfWgie', 'LOPE PHAM']]",,1EC0kobfCkQ4D0pIjpQLDF
5yrPkBvOBvqfSjDhoRzDlO,Tại Vì Sao,track,True,203111,"[['1zSv9qZANOWB4HRE8sxeTL', 'RPT MCK'], ['3n56g8JEOhO9CwLHpfWgie', 'LOPE PHAM']]",,5DZXXrAKNwD0c0Avrs5W9j
4ih9noxBfg7euMjCPO0qNH,Chìm Sâu,track,False,156000,"[['1zSv9qZANOWB4HRE8sxeTL', 'RPT MCK'], ['2v14NO80QYditUms7sbEIZ', 'Trung Trần']]",,2AZXUAGWs90yNEUC4biubs
5EpOcv2sIS5Z1WGYeWUcSc,OCEAN (LOPE PHAM REMIX),track,True,162311,"[['1zSv9qZANOWB4HRE8sxeTL', 'RPT MCK'], ['25JRC8aMGIGBIJ5KiINv3l', 'RPT Orijinn'], ['3n56g8JEOhO9CwLHpfWgie', 'LOPE PHAM']]",,44qSXkyAZw601hxq4vuSaB
5rvn7zGZYmFDq27Y2P7tPu,Tết Real Khum?,track,False,218216,"[['4iFNiWhODcMZdmpNkxsTFp', 'Wowy'], ['1zSv9qZANOWB4HRE8sxeTL', 'RPT MCK'], ['2aMo0CYbTieTisS0BlWc59', 'VSTRA']]",,73Pkh381e7WaWIBbbdksA8
5K6w4qb1oN6R7h75kkkFLw,OCEAN (feat. RPT Orijinn),track,True,162311,"[['1zSv9qZANOWB4HRE8sxeTL', 'RPT MCK'], ['25JRC8aMGIGBIJ5KiINv3l', 'RPT Orijinn']]",,52hUTfrfiWsaNSc1pNmKfK
3Cnz5O9EH4QIXWFJcrZkPL,Ngủ Trong Phòng Thu,track,True,308000,"[['0hUr8xEtATxbq2OTiJFAP0', '24k.Right'], ['25JRC8aMGIGBIJ5KiINv3l', 'RPT Orijinn'], ['1zSv9qZANOWB4HRE8sxeTL', 'RPT MCK'], ['3EkXXkwTWhJpPDJR4ME3D8', 'KayC']]",,1i31NE22bX7G4G5lxD7OdF
569B75eNRVDABuNz286Npc,Đìu Anh Luôn Giữ Kín Trong Tym,track,False,176000,"[['1zSv9qZANOWB4HRE8sxeTL', 'RPT MCK'], ['3diftVOq7aEIebXKkC34oR', 'tlinh'], ['0XtC2d9ZVigYA7iMy5YkW0', '2pillz']]",,3WsRdU3hVJU5YWCB5FT3M0
4EIF7V1S5ohNmH78p9UGpk,Không Cần Cố,track,False,210912,"[['1zSv9qZANOWB4HRE8sxeTL', 'RPT MCK'], ['3diftVOq7aEIebXKkC34oR', 'tlinh']]",,4BiBKSUM0QETju0I9vaGpx
35yMo3KeRylgXnga5cwfHx,iceman,track,True,178142,"[['4hksJgKaus2VEhQO2Umee9', 'Sol7'], ['1zSv9qZANOWB4HRE8sxeTL', 'RPT MCK'], ['1lpVvscZxrQt8OjPrzil54', 'DCOD']]",,1O1ptdyKRzhDMs9LDBlNSY
1QPIVokvIZcTACnM158Ssz,Chương Hai Của Tương Lai,track,False,243000,"[['30eFAXoU2kTjJPf2cq80B8', 'WEAN'], ['1zSv9qZANOWB4HRE8sxeTL', 'RPT MCK'], ['3npM0ZkW5qRUL5Y7ihHRrU', 'Tenkitsune']]",,2nS3VGIoT0yl8WepmMYo1u
2QpMK4mvdyFW5N0JYohVdW,Em Là Châu Báu,track,False,171968,"[['3diftVOq7aEIebXKkC34oR', 'tlinh'], ['1zSv9qZANOWB4HRE8sxeTL', 'RPT MCK']]",,0HAwofE629trktV5EDG1Fx
7xikKiHGMEQPYbrNSW8vP9,Chơi Đồ,track,True,127714,"[['1zSv9qZANOWB4HRE8sxeTL', 'RPT MCK'], ['1Jmkhzve9TuXHUUWGmpANw', 'Wxrdie'], ['6w4Cn8sKMa6PYhT91LoTTy', 'Sony Tran']]",,4J2DPrUDNKluF2WuoZROkS
2FxYdAodexZMjXORUKUJGN,Chơi Đồ - Instrumental,track,True,127714,"[['1zSv9qZANOWB4HRE8sxeTL', 'RPT MCK'], ['1Jmkhzve9TuXHUUWGmpANw', 'Wxrdie'], ['6w4Cn8sKMa6PYhT91LoTTy', 'Sony Tran']]",,4J2DPrUDNKluF2WuoZROkS
4vxz5t6m10jDYLu85CzToB,Lollipop,track,False,141428,"[['2OkxNsNz7QXCBwlME0fSsk', 'TGSN'], ['1zSv9qZANOWB4HRE8sxeTL', 'RPT MCK'], ['7mFCX07lzCFLpHm72R93oB', 'NÂN']]",,0XzUbZY2wuoJJO07GjJpA3
4Y6ii49b48tGI8Apf5uMIj,Intro,track,False,58000,"[['0ZbgKh0FgPYeFP38nVaEGp', 'Obito'], ['3hRnvEdu1iPyB6EzMBbuZq', 'Shiki']]",,03ZYR4zwCrkSsXTROnK2d0
4toiqxRcq6Boy3iSYftFly,Xuất Phát Điểm,track,False,189111,"[['0ZbgKh0FgPYeFP38nVaEGp', 'Obito'], ['3hRnvEdu1iPyB6EzMBbuZq', 'Shiki']]",,03ZYR4zwCrkSsXTROnK2d0
2pAwijeWeUsyoXFnkv1RDg,CL5 (interlude),track,False,42716,"[['0ZbgKh0FgPYeFP38nVaEGp', 'Obito'], ['3hRnvEdu1iPyB6EzMBbuZq', 'Shiki']]",,03ZYR4zwCrkSsXTROnK2d0
